iscnPrefix,classTitle,classDescription,imageUrl,catalogId,mintCount,listCount,editionTitleEn,editionTitleZh,editionDescriptionEn,editionDescriptionZh,editionPriceUSD,classId
iscn://likecoin-chain/PYml25RSPUBPR4w6gNo9Nm9Kwe3-7uLYE9kGw67qSu4,"""The Ladies"": A Shining Constellation of Wit and Beauty",,https://www.gutenberg.org/cache/epub/8434/pg8434.cover.medium.jpg,8434,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1kpseqx6rh3whe2dldvlesj6ccghr3tegg8q4dc337wx6t576uxzqm3svp3
iscn://likecoin-chain/HPOyvfgjaUUOzCe9r-opsHCfVLE9DFbkpO8bCG1mMFM,"""Where Angels Fear to Tread"" and Other Stories of the Sea",,https://www.gutenberg.org/cache/epub/23539/pg23539.cover.medium.jpg,23539,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft16agxulqar3g0fxkuxnpvllrp9c4x082nhka4y7x0s78kymnu9y0q3d38k5
iscn://likecoin-chain/OXYScIFw4DJwObOTHlsO9nc2gdlcPjfh7yJyn3GN7jw,'That Very Mab',,https://www.gutenberg.org/cache/epub/21337/pg21337.cover.medium.jpg,21337,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1shagn67we2yxqpvm2hu9sneu4dfpd5y3tlryycnceh7nguq4naeqpyflhp
iscn://likecoin-chain/7G6J0K59BShpSsD21AfrgYTkU7P9KgiAKxlLiLVcmOQ,"A Beleaguered City Being a Narrative of Certain Recent Events in the City of Semur, in the Department of the Haute Bourgogne. A Story of the Seen and the Unseen",,https://www.gutenberg.org/cache/epub/11521/pg11521.cover.medium.jpg,11521,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1kwuu2wnyc0pmwjgam80q23sm96mgqf0el8w0aefmdd0gu3p5v40qenlj8t
iscn://likecoin-chain/pOu9W3vbKeguSXqsGZGmppx6Q7x-zH8hMcmgfxOrnRw,A Bell's Biography,,https://www.gutenberg.org/cache/epub/9237/pg9237.cover.medium.jpg,9237,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft177p8xvs5mqmx6ad0nwgx65asra5d300w6qjcaml3pfd86w6r8jcs3su9n4
iscn://likecoin-chain/5zX1b5hHmwKT7luv4SXHXkG-W3nu4sBwsJ8e4kIHSr0,A Bicycle of Cathay,,https://www.gutenberg.org/cache/epub/12334/pg12334.cover.medium.jpg,12334,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1l4gwmd0ykks6k06xkna23zv445wj9ugpc466fhllvz7xdv36j3dq3ksw6l
iscn://likecoin-chain/Esoc1DJxDgZYEqA0ck0qBrh1BHR0GekZ9gIF3yRWhbY,A Bit O' Love,,https://www.gutenberg.org/cache/epub/2915/pg2915.cover.medium.jpg,2915,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1r9gsaam9m0aqyxgzq7jzqzn2ahup97xrvw7xa26q2n2wf8rn7mjq4lhqk9
iscn://likecoin-chain/i2JuZgg7xRKBBNTFxoDCyDR4vv8rf9HpYTzHqT8_aH8,"A Book of English Prose Part II, Arranged for Secondary and High Schools",,https://www.gutenberg.org/cache/epub/19811/pg19811.cover.medium.jpg,19811,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1g406dj88mnu0jc34vuc34sk8edw4g8pzcww36wqdp7mns642yx8quryj6d
iscn://likecoin-chain/bfMqMxCngvn9SixUrn778tWVSVxWRMJAHs2PzhHwFWs,A Book of Golden Deeds,,https://www.gutenberg.org/cache/epub/6489/pg6489.cover.medium.jpg,6489,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft18xehw9xmm6pl5e6r0h6hc5xwj8he0adakjjtt8xc5s69amf0zt9sxuc8uf
iscn://likecoin-chain/Eog7PwSEF39UNhM12-ifkQM6fO6jUTsgIiSD-cSD4oE,"A Book of Operas: Their Histories, Their Plots, and Their Music",,https://www.gutenberg.org/cache/epub/5724/pg5724.cover.medium.jpg,5724,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1kj8jmv2ms4z24v4u53x2ax8mpulkxzcvzyjzm98e46ytsd7t7z4qk4mpnl
iscn://likecoin-chain/ODUhPFJ8-qaxXANjuQ42f_khJJaiy6twmIYHBZZj2PQ,A Book of Scoundrels,,https://www.gutenberg.org/cache/epub/1632/pg1632.cover.medium.jpg,1632,10,10,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1rsn6e0de6zw9eznwrh5zr59q055cj627j6u73vsrhkq5nphnej0qztnzdv
iscn://likecoin-chain/E2NE4iLWT45MCdt2cEqCXPzbMoIoPwZhwo7R8Kayz6k,A Border Ruffian 1891,,https://www.gutenberg.org/cache/epub/23803/pg23803.cover.medium.jpg,23803,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1v9jt3jsnt6247028kgq7px8a3vj0wuez39fgmtk4gfcgwrr9gwnqw86znt
iscn://likecoin-chain/5vS8o_5ep5revlSj4Cd-Bicnl0VRjHPuB3xZxzmcJeA,A Boy Trooper With Sheridan First Massachusetts Cavalry,,https://www.gutenberg.org/cache/epub/45024/pg45024.cover.medium.jpg,45024,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1ct0kkqhgsnz9gggt7hj80n79vacw95u3lzfm7wev2eauz4pnhqpsvw8658
iscn://likecoin-chain/q8i7hs4hvjyinNvfYKlGPpbhI3gpZ9-CQ6w24Vd_EW8,"A Brace Of Boys 1867, From ""Little Brother""",,https://www.gutenberg.org/cache/epub/23170/pg23170.cover.medium.jpg,23170,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1rult9t4s6ulltmzpnlq9hgldlypcgl23t4f4mepcfx9dtu2pj6kse2y7cc
iscn://likecoin-chain/5uymOPri61xc3Lg9SmnQtoAVvyYkhhDbElL42yappZE,A Breath of Prairie and other stories,,https://www.gutenberg.org/cache/epub/29245/pg29245.cover.medium.jpg,29245,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1acy73l5j4vx7fguj4cesugtdn2c4qk5yf86yhh2yxl99lpkrz8ss53p8hy
iscn://likecoin-chain/-ht0mWVBWsijTZi7hOJEEPw6cZvTMrAlFxSbQ_qEWwY,A Brief History of the United States,,https://www.gutenberg.org/cache/epub/6896/pg6896.cover.medium.jpg,6896,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1d82j3v404s6lydqgrgy62kjyj3m3lff6g4j2t0s04e8mgm8angesfutmf2
iscn://likecoin-chain/opxphM1clxUBRtbQCnWBffLVc0z1seXzAaFiHmb4DOc,A Briefe and True Report of the New Found Land of Virginia,,https://www.gutenberg.org/cache/epub/4247/pg4247.cover.medium.jpg,4247,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft19dwdazq66uzn0nda5jtjp2m4cgnjq06v8gaflvwgwn3t7urq588qqf47g5
iscn://likecoin-chain/axjUIuvB-yrxlaNUzFD97icAg5kJMNUelkr62xaPG9M,A Calendar of Scottish Saints,,https://www.gutenberg.org/cache/epub/31121/pg31121.cover.medium.jpg,31121,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1vf2hr6wsa2phk967s6n7peae52h6vnppyt9z9evazrx366x3kmpqeypktr
